method,label,role,seed,steps,epochs_completed,initialization_hash,input_tokens,prediction_tokens,smoke_only,final_validation_nll,final_validation_perplexity,best_validation_nll,elapsed_wall_seconds,mean_step_seconds,training_tokens_per_second,peak_memory_gib,peak_reserved_memory_gib,validation_input_tokens,training_forward_calls,training_backward_calls,validation_forward_calls,total_model_token_passes,auxiliary_input_tokens,auxiliary_forward_calls,auxiliary_backward_calls,auxiliary_jvp_calls,auxiliary_vjp_calls,optimizer_seconds,auxiliary_seconds,fallback_events,local_attention_replays,baseline_state_bytes,proposal_state_bytes,sketch_cache_bytes,checkpoint_sha256
qk_defect_v1,Query-key finite-interaction correction,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.072367742718983,3204.6807125373334,8.072367742718983,34.6390210850077,0.5799828815162816,28249.10962400544,5.527451515197754,5.841796875,995328,264,264,488,2078720,2048,8,8,0,0,1.4489383709587855,0.3694129619980231,0,28,655780240,0,0,6f9df11001e620ac507ee671fdad6cf7b6adefcd34d8a7a559faa0af77e0f139
routing_resistance_v1,Sparse attention-curvature preconditioning,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.072425516544547,3204.865864550225,8.072425516544547,34.12692479000543,0.5680240517271379,28843.849041572616,5.530259132385254,6.208984375,995328,264,264,488,2077184,512,4,0,0,0,1.106931988033466,0.04307260403584223,0,0,655780240,0,0,5c1c848c6894f615f502da8af283484fdf9053bf7d240924dd15bf8edbf4edc0
tied_path_curvature_v1,Tied embedding joint curvature,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.072309078012474,3204.492716398299,8.072309078012474,37.289958156994544,0.615402041606351,26623.246093291666,5.817909240722656,6.806640625,995328,264,264,488,2077824,1152,3,0,0,6,2.346754764977959,0.9957238320057513,0,0,655780240,308779008,0,5302a2da10d79a2abe9f0bd31d70eb9f177b915c48a653a8aeeaa5fd54a73f63
proposal_notch_v1,Resonance-selective proposal filtering,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.072367742718983,3204.6807125373334,8.072367742718983,35.284739317998174,0.6053205266966181,27066.6519263959,5.741870880126953,6.20703125,995328,264,264,488,2076672,0,0,0,0,0,2.125491316022817,0.794663574983133,0,0,655780240,12672,226492416,0ddc3bcf6f7e8164e95ccf41325cdb72b4820b59f0f211ccbf007e7ccba52c2d
feature_remap_cohort_v1,Feature-drift cohort momentum remapping,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.07145139513683,3201.745456177753,8.07145139513683,52.75861120199261,1.0993731151820887,14903.038626050378,5.806609153747559,6.65234375,995328,264,264,488,2080512,3840,15,15,0,0,18.467670779980836,17.142865347967017,0,0,655780240,184037376,0,d201ab093d0a16d4872b2becfbf1363de2bf42d379d4cfb14229655fce440cb0
ln_response_v1,LayerNorm finite-response coupling,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,8.071860097563317,3203.054284757176,8.071860097563317,34.51287180099462,0.5764891134260158,28420.311187893145,5.530259132385254,5.830078125,995328,264,264,488,2078976,2304,12,0,6,0,1.3536127439583652,0.3162395290128188,0,0,655780240,0,0,891a720200a2af2742663e3be3031768fe121bc3344ca3e6b112bbeb7720dead
