method,label,role,seed,steps,epochs_completed,initialization_hash,input_tokens,prediction_tokens,smoke_only,final_validation_nll,final_validation_perplexity,best_validation_nll,elapsed_wall_seconds,mean_step_seconds,training_tokens_per_second,peak_memory_gib,peak_reserved_memory_gib,validation_input_tokens,training_forward_calls,training_backward_calls,validation_forward_calls,total_model_token_passes,auxiliary_input_tokens,auxiliary_forward_calls,auxiliary_backward_calls,auxiliary_jvp_calls,auxiliary_vjp_calls,optimizer_seconds,auxiliary_seconds,fallback_events,local_attention_replays,baseline_state_bytes,proposal_state_bytes,sketch_cache_bytes,checkpoint_sha256
adamw,AdamW baseline,baseline,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,9.641650286231021,15392.725185389427,9.641650286231021,35.61141952399339,0.5599347631805083,29260.551545213188,5.8255534172058105,6.189453125,995328,264,264,488,2076672,0,0,0,0,0,0.35491792699031066,0.0,0,0,995519056,0,0,1357315b07984297825a6da40af198004ca621ee5cd513434e424098a04550d4
muon,PyTorch Muon baseline,baseline,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.842622792279279,51155.37210109626,10.842622792279279,52.040363959997194,1.095939182151183,14949.734681298996,5.566688537597656,5.875,995328,264,264,488,2079232,2560,10,10,0,0,18.45395747994189,17.430321255000308,0,0,655780240,47185920,0,64ed1cf44b46f35d0aba9562b0188c74e02f0a2cfaf4161d482a497b5d49abf3
qk_defect_v1,Query-key finite-interaction correction,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.842622792279279,51155.37210109626,10.842622792279279,34.449322981003206,0.5789336818168963,28300.305396951997,5.530259132385254,6.240234375,995328,264,264,488,2078720,2048,8,8,0,0,1.2903043680271367,0.22866806399542838,0,28,655780240,0,0,5e7d6e72c0a68bd4dab285a670293994e678c7b8ec5774e103dcf04edc7569e2
routing_resistance_v1,Sparse attention-curvature preconditioning,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.84260135619238,51154.27554184759,10.84260135619238,34.19517296200502,0.5690701246975082,28790.82785923614,5.530259132385254,6.208984375,995328,264,264,488,2077184,512,4,0,0,0,1.1082010909885867,0.043424517978564836,0,0,655780240,0,0,13d25419b1535a850b91574dcdeec4384a54648088a3179ce2fdd202a80dc830
tied_path_curvature_v1,Tied embedding joint curvature,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.842612761038321,51154.85895180619,10.842612761038321,36.517555215992616,0.6117218118778317,26783.416386126974,5.817909240722656,6.806640625,995328,264,264,488,2077824,1152,3,0,0,6,2.512688822025666,0.9964311829826329,0,0,655780240,308779008,0,8982ebb484e1ed2ca3f586e39725b7152d487936e6e5f7527a0ab730aae9313a
proposal_notch_v1,Resonance-selective proposal filtering,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.842622792279279,51155.37210109626,10.842622792279279,35.358749545004684,0.605433183332824,27061.615469783796,5.741870880126953,6.20703125,995328,264,264,488,2076672,0,0,0,0,0,2.1406365699658636,0.809889992029639,0,0,655780240,12672,226492416,dbc87f3c96307e80dd43da607ec328a2c26b65c0475a413c1a8426020353909a
feature_remap_cohort_v1,Feature-drift cohort momentum remapping,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.84255683176802,51151.997977879495,10.84255683176802,53.27823557599913,1.1093837759394911,14768.559226607646,5.806609153747559,6.65234375,995328,264,264,488,2080512,3840,15,15,0,0,18.77745014298125,17.452960349008208,0,0,655780240,184037376,0,2068fe4840d0546eaa959b25bd81bcf625056887963a7c005842866f7f09e462
ln_response_v1,LayerNorm finite-response coupling,proposal,0,33,0,811cbf5668684ccd17f492caec21cc986a42b984f4f836314fb8bd20ba5cdafe,540672,539616,True,10.842497495957362,51148.96292265733,10.842497495957362,34.7753063509881,0.5798752891816107,28254.351074561324,5.530259132385254,5.830078125,995328,264,264,488,2078976,2304,12,0,6,0,1.368636334023904,0.3287360149988672,0,0,655780240,0,0,1315bb54907a1190775ed0683de828e64d55e4f7bdbb519ab551d301a2e6dc17
